Actresss,Year,Title [ a ],Role(s),Notes,Ref(s),,,
Karisma Kapoor,2000,Dulhan Hum Le Jayenge,Sapna,,[ 66 ],,,
Karisma Kapoor,2000,Chal Mere Bhai,Sapna,,[ 67 ],,,
Karisma Kapoor,2000,Hum To Mohabbat Karega,Geeta Kapoor,,[ 68 ],,,
Karisma Kapoor,2000,Fiza,Fiza Ikramullah,,[ 69 ] [ 70 ],,,
Karisma Kapoor,2000,Shikari,Rajeshwari Rawal,,[ 71 ] [ 72 ],,,
Karisma Kapoor,2001,Zubeidaa,Zubeidaa,,[ 69 ] [ 73 ],,,
Karisma Kapoor,2001,Aashiq,Pooja,,[ 74 ],,,
Karisma Kapoor,2001,Ek Rishtaa,Nisha Thapar,,[ 75 ],,,
Karisma Kapoor,2002,Haan Maine Bhi Pyaar Kiya,Pooja Kashyap,,[ 76 ],,,
Karisma Kapoor,2002,Shakti: The Power,Nandini,,[ 9 ] [ 69 ],,,
Karisma Kapoor,2002,Rishtey,Komal,,[ 77 ],,,
Karisma Kapoor,2003,Baaz,Neha Chopra,,[ 78 ],,,
Karisma Kapoor,2006,Mere Jeevan Saathi,Natasha Arora,,[ 79 ],,,
Karisma Kapoor,2006,Zamaanat,Kajal,Unreleased,,,,
Karisma Kapoor,2007,Om Shanti Om,Herself,"Special appearance in song ""Deewangi Deewangi""",[ 80 ],,,
Karisma Kapoor,2011,Bodyguard,Chhaya,Voice only,[ 81 ],,,
Karisma Kapoor,2012,Dangerous Ishhq,Sanjana / Geeta / Salma / Paro [ c ],,[ 82 ],,,
Karisma Kapoor,2013,Bombay Talkies,Herself,"Special appearance in song "" Apna Bombay Talkies """,[ 83 ],,,
Karisma Kapoor,2018,Zero,Herself,Cameo appearance,[ 84 ],,,
Karisma Kapoor,2024,Murder Mubarak,Shehnaz Noorani,,[ 85 ],,,
Ajay Devgn,1991,Phool Aur Kaante,Yes,No,No,Ajay Salgaonkar,,
Ajay Devgn,1992,Jigar,Yes,No,No,"Raj ""Raju"" Verma",,[ 34 ]
Ajay Devgn,1993,Divya Shakti,Yes,No,No,Prashant Varma,,[ 34 ]
Ajay Devgn,1993,Platform,Yes,No,No,Raju,,[ 34 ]
Ajay Devgn,1993,Sangraam,Yes,No,No,Raja S. Singh Kanwar,,[ 34 ]
Ajay Devgn,1993,Shaktiman,Yes,No,No,Amar Chauhan,,[ 34 ]
Ajay Devgn,1993,Dil Hai Betaab,Yes,No,No,Ajay,,[ 34 ]
Ajay Devgn,1993,Ek Hi Raasta,Yes,No,No,Karan Singh,,[ 34 ]
Ajay Devgn,1993,Bedardi,Yes,No,No,Vijay Saxena,,[ 34 ]
Ajay Devgn,1993,Dhanwaan,Yes,No,No,Kashinath,,[ 34 ]
Ajay Devgn,1994,Dilwale,Yes,No,No,Arun Saxena,,[ 35 ]
Ajay Devgn,1994,Kanoon,Yes,No,No,Vishal Singh,,[ 34 ]
Ajay Devgn,1994,Vijaypath,Yes,No,No,Karan,,[ 36 ]
Ajay Devgn,1994,Suhaag,Yes,No,No,Ajay Sharma / Ajay Malhotra [ a ],,[ 34 ]
Ajay Devgn,1995,Naajayaz,Yes,No,No,Jai Bakshi,,[ 34 ]
Ajay Devgn,1995,Hulchul,Yes,No,No,Deva,,[ 37 ]
Ajay Devgn,1995,Gundaraj,Yes,No,No,Ajay Chauhan,,[ 34 ]
Ajay Devgn,1995,Haqeeqat,Yes,No,No,Shiva/Ajay [ a ],,[ 34 ]
Ajay Devgn,1996,Jung,Yes,No,No,Ajay Bahadur Saxena,,[ 34 ]
Ajay Devgn,1996,Jaan,Yes,No,No,Karan Sharma,,[ 34 ]
Ajay Devgn,1996,Diljale,Yes,No,No,Shyam,,[ 34 ]
Ajay Devgn,1997,Ishq,Yes,No,No,Ajay Rai,,[ 34 ]
Ajay Devgn,1997,Itihaas,Yes,No,No,Karan Bakshi,,[ 34 ]
Ajay Devgn,1998,Major Saab,Yes,No,No,Virendra Pratap Singh,,[ 38 ]
Ajay Devgn,1998,Pyaar To Hona Hi Tha,Yes,No,No,Shekhar Suryavanshi,,[ 39 ]
Ajay Devgn,1998,Sar Utha Ke Jiyo,Yes,No,No,Vishal / Raju,Special appearance,[ 34 ]
Ajay Devgn,1998,Zakhm,Yes,No,No,Ajay R. Desai,,[ 34 ]
Ajay Devgn,1999,Hogi Pyaar Ki Jeet,Yes,No,No,Raju,,[ 34 ]
Ajay Devgn,1999,Hum Dil De Chuke Sanam,Yes,No,No,Vanraj,,[ 40 ]
Ajay Devgn,1999,Hindustan Ki Kasam,Yes,Yes,No,Ajay/Tauheed [ b ],,[ 41 ]
Ajay Devgn,1999,Gair,Yes,No,No,Vijay Kumar /Dev [ a ],,[ 34 ]
Ajay Devgn,1999,Thakshak,Yes,No,No,Ishaan Singh,,[ 34 ]
Ajay Devgn,1999,Kachche Dhaage,Yes,No,No,Aftab,,[ 42 ]
Ajay Devgn,1999,Dil Kya Kare,Yes,Yes,No,Anand Kishore,,[ 43 ]
Ajay Devgn,2000,Deewane,Yes,No,No,Vishal/Arun [ b ],,[ 34 ]
Ajay Devgn,2000,Raju Chacha,Yes,Yes,No,Shekhar/Raju Chacha [ a ],,[ 34 ]
Ajay Devgn,2001,Yeh Raaste Hain Pyaar Ke,Yes,No,No,"Rohit Verma / Vikram ""Vicky"" Malhotra [ b ]",,[ 34 ]
Ajay Devgn,2001,Lajja,Yes,No,No,Bhulwa,,[ 44 ]
Ajay Devgn,2001,Tera Mera Saath Rahen,Yes,No,No,Raj Dixit,,[ 45 ]
Ajay Devgn,2002,Company,Yes,No,No,Malik,,[ 46 ]
Ajay Devgn,2002,Hum Kisise Kum Nahin,Yes,No,No,Raja Sharma,,[ 47 ]
Ajay Devgn,2002,The Legend of Bhagat Singh,Yes,No,No,Bhagat Singh,,[ 48 ]
Ajay Devgn,2002,Deewangee,Yes,No,No,Tarang Bharadwaj / Ranjeet,,[ 49 ]
Ajay Devgn,2003,Bhoot,Yes,No,No,Vishal Bhatia,,[ 50 ]
Ajay Devgn,2003,Qayamat: City Under Threat,Yes,No,No,Rachit,,[ 51 ]
Ajay Devgn,2003,Chori Chori,Yes,No,No,Ranbir Malhotra,,[ 52 ]
Ajay Devgn,2003,Gangaajal,Yes,No,No,SP Amit Kumar,,[ 53 ]
Ajay Devgn,2003,Parwana,Yes,No,No,Parwana,,[ 54 ]
Ajay Devgn,2003,Zameen,Yes,No,No,Lieutenant Colonel Ranvir Singh Ranawat,,[ 55 ]
Ajay Devgn,2003,LOC Kargil,Yes,No,No,Captain Manoj Kumar Pandey,,[ 56 ]
Ajay Devgn,2004,Khakee,Yes,No,No,Yashwant Aangre,,[ 57 ]
Ajay Devgn,2004,Masti,Yes,No,No,Inspector Sikander Tyagi,,[ 58 ]
Ajay Devgn,2004,Yuva,Yes,No,No,"Michael ""Mike"" Mukherjee",,[ 59 ]
Ajay Devgn,2004,Raincoat,Yes,No,No,"Manoj ""Mannu"" Tripathi",,[ 60 ]
Ajay Devgn,2004,Taarzan: The Wonder Car,Yes,No,No,Deven Chaudhary,Special appearance,[ 61 ]
Ajay Devgn,2005,Insan,Yes,No,No,Ajit Rathore,,[ 62 ]
Ajay Devgn,2005,Blackmail,Yes,No,No,Shekhar R Mohan,,[ 63 ]
Ajay Devgn,2005,Zameer: The Fire Within,Yes,No,No,Suraj Chauhan,,[ 64 ]
Ajay Devgn,2005,Tango Charlie,Yes,No,No,"BSF Soldier Hawaldar Mohammad Ali ""Mike Alpha""",,[ 65 ]
Ajay Devgn,2005,Kaal,Yes,No,No,Kaali Pratap Singh,,[ 66 ]
Ajay Devgn,2005,Main Aisa Hi Hoon,Yes,No,No,Indraneel Thakur,,[ 67 ]
Ajay Devgn,2005,Apaharan,Yes,No,No,Ajay Shastri,,[ 68 ]
Ajay Devgn,2005,Shikhar,Yes,No,No,Gaurav Gupta,,[ 69 ]
Ajay Devgn,2006,Dharti Kahe Pukar Ke,Yes,No,No,SP Kunal Singh,Cameo appearance,[ 70 ]
Ajay Devgn,2006,Golmaal: Fun Unlimited,Yes,No,No,Gopal Kumar Santoshi,,[ 71 ]
Ajay Devgn,2006,The Awakening,Yes,Yes,No,Himself,Also editor; Short film,[ 34 ] [ 72 ]
Ajay Devgn,2006,Omkara,Yes,No,No,"Omkara ""Omi"" Shukla",,[ 73 ]
Ajay Devgn,2007,Cash,Yes,No,No,Karan / Doc [ a ],,[ 34 ]
Ajay Devgn,2007,Aag,Yes,No,No,"Heerendra ""Heero"" Dhaan",,[ 74 ]
Ajay Devgn,2008,Halla Bol,Yes,No,No,Ashfaque Khan / Sameer Khan [ a ],,[ 75 ]
Ajay Devgn,2008,Sunday,Yes,No,No,ACP Rajveer Randhava,,[ 76 ]
Ajay Devgn,2008,U Me Aur Hum,Yes,Yes,Yes,Ajay Mehra,,[ 77 ] [ 78 ]
Ajay Devgn,2008,Haal-e-Dil,Yes,No,No,Himself,Guest appearance,[ 79 ]
Ajay Devgn,2008,Mehbooba,Yes,No,No,Karan Dhariwal,,[ 80 ]
Ajay Devgn,2008,Golmaal Returns,Yes,No,No,Gopal Kumar Santoshi,,[ 81 ]
Ajay Devgn,2009,All the Best: Fun Begins,Yes,Yes,No,Prem Chopra,,[ 82 ]
Ajay Devgn,2009,London Dreams,Yes,No,No,Arjun Joshi,,[ 83 ]
Ajay Devgn,2010,Teen Patti,Yes,No,No,Sunny,Cameo appearance,[ 84 ]
Ajay Devgn,2010,Atithi Tum Kab Jaoge?,Yes,No,No,"Puneet ""Pappu"" Bajpai",,[ 85 ]
Ajay Devgn,2010,Raajneeti,Yes,No,No,Sooraj Kumar,,[ 86 ]
