Year,Title,Role,Notes,Ref.,Romantic interest,Year of birth of romantic interest,Age of RI,AK year of birth,AK age at movie
2012,OMG – Oh My God!,God Krishna Vasudev Yadav,,[22] [139],,,,1967,45
2012,Khiladi 786,Bahattar Singh / Tehattar Singh [a],,[140],Asin Thottumkal,1985,27,1967,45
2013,Bhaji in Problem,Himself,Special appearance; Punjabi film,[141],,,,1967,46
2013,Special 26,Ajay Singh Vardhan,,[142],Kajal Aggarwal,1985,28,1967,46
2013,Once Upon A Time in Mumbai Dobaara!,Criminal Shoaib Khan,,[143],Sonakshi Sinha,1987,26,1967,46
2013,Boss,"Suryakant Shastri / Surya ""Boss""",100th Film,[144],Aditi Rao Hydari,1986,27,1967,46
2013,Bombay Talkies,Himself,"Guest appearance in song "" Apna Bombay Talkies """,[145],,,,1967,46
2014,Holiday,Lieutenant Captain Virat Bakshi,,[146] [147],Sonakshi Sinha,1987,27,1967,47
2014,Fugly,Himself,"Special appearance in the song ""Fugly Fugly Kya Hai""",[148],,,,1967,47
2014,Entertainment,Akhil Johri,,[149],Tamannaah Bhatia,1989,25,1967,47
2014,The Shaukeens,Himself / Rajiv Bhatia,,[150],Lisa Haydon,1986,28,1967,47
2015,Baby,Ajay Singh Rajput,,[151],Taapsee Pannu,1987,28,1967,48
2015,Hey Bro,Himself,"Special appearance in the song ""Birju""",[152],,,,1967,48
2015,Gabbar Is Back,"Professor Aditya ""Gabbar"" Singh Rajput",,[153],Shruti Haasan,1986,29,1967,48
2015,Brothers,David Fernandes,,[154],Jacqueline Fernandez,1985,30,1967,48
2015,Singh Is Bling,Raftaar Singh,,[155],Amy Jackson,1992,23,1967,48
2016,Airlift,Ranjit Katyal,,[156],Nimrat Kaur,1982,34,1967,49
2016,Housefull 3,"Sanket ""Sandy"" Sehgal / Sundy",,[157],Jacqueline Fernandez,1985,31,1967,49
2016,Dishoom,Sameer Gazi,Cameo,[158],,,,1967,49
2016,Rustom,Rustom Pavri,,[159],Ileana D'Cruz,1986,30,1967,49
2017,Jolly LLB 2,"Advocate Jagdishwar ""Jolly"" Mishra",,[160],Huma Qureshi,1986,31,1967,50
2017,Naam Shabana,Ajay Singh Rajput,Cameo appearance,[161],,,,1967,50
2017,Toilet: Ek Prem Katha,Keshav Sharma,,[162],Bhumi Pednekar,1989,28,1967,50
2018,Pad Man,Lakshmi Kant Chauhan,,[163],Radhika Apte,1985,33,1967,51
2018,Gold,Tapan Das,,[164],Mouni Roy,1985,33,1967,51
2018,2,Pakshi Rajan,Tamil film; antagonist (Rajinikanth lead),[165],,,,1967,51
2018,Simmba,"DCP Veer ""Surya"" Sooryavanshi",Cameo appearance,[166],,,,1967,51
2019,Kesari,Havildar Ishar Singh,,[167],Parineeti Chopra,1988,31,1967,52
2019,Blank,Himself,"Special appearance in the song ""Ali Ali""",[168],,,,1967,52
2019,Mission Mangal,Rakesh Dhawan,Ensemble,[169],Vidya Balan,1979,40,1967,52
2019,Housefull 4,Harry Sinha / Bala Dev Singh [a],,[170],Kriti Sanon,1990,29,1967,52
2019,Good Newwz,Varun Batra,,[171],Kareena Kapoor,1980,39,1967,52
2020,Laxmii,Asif Ahmed,,[172],Kiara Advani,1992,28,1967,53
2021,Bell Bottom,Anshul Malhotra / Bell Bottom,,[173],Vaani Kapoor,1988,33,1967,54
2021,Sooryavanshi,"DCP Veer Sooryavanshi ""Surya""",,[174] [175],Katrina Kaif,1983,38,1967,54
2021,Atrangi Re,Sajjad Ali Khan,,[176] [177],Sara Ali Khan,1995,26,1967,54
2022,Bachchhan Paandey,Bachchan Pandey,,[178] [179],Kriti Sanon,1990,32,1967,55
2022,Samrat Prithviraj,Samrat Prithviraj Chauhan,125th Film,[180],Manushi Chillar,1997,25,1967,55
2022,Raksha Bandhan,Lala Kedarnath Agarwal,,[181],Bhumi Pednekar,1989,33,1967,55
2022,Cuttputlli,SI Arjan Sethi,,[182],Rakul Preet Singh,1990,32,1967,55
2022,Ram Setu,Aryan Kulshrestha,,[183],Nushrratt Bharuccha,1985,37,1967,55
2022,An Action Hero,Himself,Cameo appearance,[184],,,,1967,55
2023,Selfiee,Vijay Kumar,,[185],Diana Penty,1985,38,1967,56
2023,OMG 2 †,Lord Shiva,Post-production,[186],Yami Gautam,1988,35,1967,56
2023,The Great Indian Rescue †,Jaswant Singh Gill,Filming,[187] [188],,,,1967,56
2023,Untitled remake of Soorarai Pottru †,TBA,Post-production,[189],,,,1967,56
2024,Bade Miyan Chote Miyan †,TBA,Filming,[190],Manushi Chillar,1997,27,1967,57
2024,Vedat Marathe Veer Daudle Saat †,Chhatrapati Shivaji Maharaj,Filming; Marathi film,[191],,,,1967,57
2024,Hera Pheri 3 †,Raju,Filming,[192] [193],,,,1967,57
2024,Bade Miyan Chote Miyan,"Captain Firoz ""Freddy""",,[186],Manushi Chillar,1997,27,1967,57
2024,Sarfira,Vir Mhatre,Nominated-Filmfare Award for Best Actor,[187][188],Radhika Madan,1995,29,1967,57
2024,Khel Khel Mein,Rishabh Malik,,[189],Taapsee Pannu,1987,37,1967,57
2024,Stree 2,Sarkata's descendant,Cameo,[190],,,,1967,57
2024,Singham Again,"DCP Veer Sooryavanshi ""Surya""",,[191],Deepika Padukone,1986,38,1967,57
2025,Sky Force,Wing Commander Kumar Om Ahuja,,[192],Sara Ali Khan,1995,30,1967,58
2025,Kesari Chapter 2,C. Sankaran Nair,,[193],,,,1967,58
2025,Housefull 5,"Julius ""Jolly 3""",,[194],Sonam Bajwa,1989,36,1967,58
2025,Kannappa,Shiva,Cameo; Telugu film,[195],,,,1967,58
2025,Jolly LLB 3,"Advocate Jagdishwar ""Jolly"" Mishra",,[196],Huma Qureshi,1986,39,1967,58
2026,Bhooth Bangla,Arjun Acharya / Madhav Acharya[a],Also producer,[197],Wamiqa Gabi,1993,33,1967,59
2026,Welcome to the Jungle †,TBA,Completed,[198],,,,1967,59
2026,Haiwaan †,,,[199],,,,1967,59
2026,Untitled Anees Bazmee film †,,Filming,[200],,,,1967,59
2027,Vedat Marathe Veer Daudle Saat †,Chhatrapati Shivaji Maharaj,Post-production; Marathi film,[201],,,,1967,60
2027,Golmaal 5 †,TBA,Filming,[2,,,,1967,60
